"","provname","pop"
"1","北京市",1633
"2","天津市",1115
"3","河北省",6943
"4","山西省",3393
"5","内蒙古自治区",2405
"6","辽宁省",4298
"7","吉林省",2730
"8","黑龙江省",3824
"9","上海市",1858
"10","江苏省",7625
"11","浙江省",5060
"12","安徽省",6118
"13","福建省",3581
"14","江西省",4368
"15","山东省",9367
"16","河南省",9360
"17","湖北省",5699
"18","湖南省",6355
"19","广东省",9449
"20","广西壮族自治区",4768
"21","海南省",845
"22","重庆市",2816
"23","四川省",8127
"24","贵州省",3762
"25","云南省",4514
"26","西藏自治区",284
"27","陕西省",3748
"28","甘肃省",2617
"29","青海省",552
"30","宁夏回族自治区",610
"31","新疆维吾尔自治区",2095
"32","台湾省",2296
"33","香港特别行政区",693
